age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
30,female,0.8,0.8,3,Accountancy,0.9,1,1,Accountant,0
32,male,0.9,1,5,Accountancy,0.9,0.2,1,Accountant,0
30,male,0.7,0.8,4,Accountancy,0.9,0.6,1,Accountant,0
29,female,0.5,0.5,4,Accountancy,0.85,0.5,1,Accountant,0
31,male,0.6,0.6,5,Accountancy,0.8,-1,1,Accountant,0
27,female,0.4,0.5,3,Accountancy,0.9,0.9,1,Accountant,0
33,male,0.7,0.7,4,Accountancy,0.9,0.9,1,Accountant,0
28,female,0.6,0.6,3,Accountancy,0.87,0.9,1,Accountant,0
28,male,0.5,0.5,3,Accountancy,0.9,0.7,1,Accountant,0
33,male,0.8,0.8,5,Accountancy,0.8,0.7,1,Accountant,0
34,female,0.9,0.9,8,Finance,0.87,0.9,0,Financial Manager,0
36,male,0.8,0.8,5,Accountancy,0.9,1,1,Financial Manager,0
32,female,0.8,0.7,7,Finance,0.9,0.9,1,Financial Manager,0
35,male,0.9,0.9,5,Financial Management,0.9,0.9,0,Financial Manager,0
33,female,0.8,0.8,5,Accountancy,0.9,0.9,1,Financial Manager,0
37,male,0.8,0.9,8,Finance,0.9,0.9,0,Financial Manager,0
31,female,0.9,0.9,6,Financial Management,0.9,0.9,1,Financial Manager,0
34,female,0.8,0.8,5,Accountancy,0.9,0.9,1,Financial Manager,0
30,female,0.8,0.8,8,Finance,0.9,0.9,1,Financial Manager,0
35,male,0.9,0.9,9,Financial Management,1,0.9,1,Financial Manager,0
28,male,0.4,0.5,2,Accountancy,0.9,0.9,1,Bookkeeper,0
25,female,0.3,0.4,1,Financial Management,1,0.9,1,Bookkeeper,0
27,male,0.4,0.4,3,Banking and Finance,0.9,0.9,1,Bookkeeper,0
24,female,0.3,0.3,1,Financial Management,0.9,0.9,1,Bookkeeper,0
26,male,0.4,0.4,5,Accountancy,0.9,0.9,1,Bookkeeper,0
23,female,0.3,0.3,1,Financial Management,0.8,0.9,1,Bookkeeper,0
28,male,0.4,0.4,3,Financial Management,0.9,0.9,1,Bookkeeper,0
25,female,0.3,0.3,1,Accountancy,0.9,0.9,1,Bookkeeper,0
27,male,0.3,0.3,1,Banking and Finance,0.9,0.9,1,Bookkeeper,0
24,female,0.4,0.4,3,Financial Management,1,0.9,1,Bookkeeper,0
28,male,0.6,0.6,2,Business Administration,0.9,0.84,0,Financial Advisor,0
30,male,0.6,0.6,3,Economics,0.9,0.82,0,Financial Advisor,0
26,female,0.6,0.6,2,Financial Management,0.9,0.9,0,Financial Advisor,0
29,female,0.7,0.7,3,Marketing,0.9,0.9,0,Financial Advisor,0
27,female,0.7,0.7,2,Business Management,1,0.9,0,Financial Advisor,0
33,male,0.7,0.7,3,Economics,0.9,0.9,0,Financial Advisor,0
29,female,0.8,0.8,5,Business Management,1,0.9,1,Financial Advisor,0
30,male,0.8,0.8,6,Economics,0.7,0.84,1,Financial Advisor,0
35,male,0.8,0.8,6,Business Administration,0.9,0.9,1,Financial Advisor,0
36,female,0.9,0.9,9,Financial Management,0.9,0.9,0,Financial Advisor,0
29,male,0.7,0.7,3,Accountancy,0.9,0.7,1,Auditor,0
31,male,0.7,0.7,3,Accountancy,0.9,0.86,1,Auditor,0
28,female,0.5,0.5,5,Accountancy,0.9,0.9,1,Auditor,0
29,male,0.7,0.7,4,Financial Management,0.9,0.9,1,Auditor,0
30,female,0.7,0.7,5,Accountancy,0.9,0.9,1,Auditor,0
29,female,0.7,0.7,5,Finance,0.9,0.6,1,Auditor,0
33,male,0.8,0.8,6,Accountancy,0.9,0.9,1,Auditor,0
28,female,0.5,0.5,3,Accountancy,0.9,0.9,1,Auditor,0
31,male,0.7,0.7,5,Accountancy,0.9,0.9,1,Auditor,0
34,male,0.8,0.8,6,Accountancy,0.9,0.9,1,Auditor,0
