age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
29,Male,0.7,0.8,5,Visual Communications,0.6,0.9,0,Graphic Designer,0
36,Male,0.8,0.8,13,Psychology and Fine Arts,0.9,0.6,0,Graphic Designer,0
30,Female,0.5,0.5,10,Fashion Design,0.1,0.8,0,Graphic Designer,0
27,Male,0.7,0.7,12,Graphic Design,0.9,0.9,0,Graphic Designer,0
35,Male,0.7,0.7,10,Graphic Design,0.9,0.9,0,Graphic Designer,0
39,Female,0.7,0.7,11,Graphic Design,0.9,0.7,0,Graphic Designer,0
32,Female,0.6,0.6,8,Graphic Design,1,0.9,0,Graphic Designer,0
28,Male,0.7,0.7,7,Graphic Design,0.9,1,0,Graphic Designer,0
28,Male,0.7,0.7,15,Graphic Design,0.9,0.9,0,Graphic Designer,0
28,Male,0.8,0.8,5,Graphic and Web Design,0.9,0.9,0,Graphic Designer,0
32,Male,0.6,0.6,1,Communication,0.9,0.9,0,Public Relations,0
30,Female,0.7,0.7,3,Public Relations,0.9,0.9,0,Public Relations,0
23,Male,0.4,0.5,2,Public Relations,0.9,0.9,0,Public Relations,0
22,Female,0.7,0.7,5,Public Relations,0.9,0.9,0,Public Relations,0
28,Female,0.7,0.7,4,Communication,0.9,0.9,0,Public Relations,0
35,Male,0.6,0.6,6,Public Relations,0.9,0.9,0,Public Relations,0
30,Male,0.7,0.7,9,Public Relations,0.9,0.9,0,Public Relations,0
32,Female,0.5,0.5,3,Public Relations,0.9,0.9,0,Public Relations,0
26,Male,0.7,0.7,4,Journalism,0.9,0.9,0,Public Relations,0
29,Female,0.7,0.7,2,Public Relations,0.9,0.9,0,Public Relations,0
24,Female,0.7,0.7,9,Psychology,0.9,0.9,0,Public Relations,0
25,Female,0.7,0.7,4,Mass Communications,0.9,0.9,0,Event Planner,0
27,Male,0.8,0.8,6,Computer Science,0.9,0.9,0,Event Planner,0
32,Female,0.6,0.6,1,Hospitality Management,0.9,0.9,0,Event Planner,0
28,Female,0.4,0.4,6,Event Management,1,0.9,0,Event Planner,0
32,Male,0.8,0.8,6,Business Administration,0.9,0.9,0,Event Planner,0
25,Female,0.7,0.7,4,Hospitality Management,1,0.9,0,Event Planner,0
30,Male,0.8,0.8,3,Event Management,1,1,0,Event Planner,0
35,Female,0.6,0.6,3,Business Administration,0.9,0.9,0,Event Planner,0
28,Male,0.7,0.7,5,Marketing Management,1,0.9,0,Event Planner,0
28,Male,0.6,0.6,5,Illustration,1,0.9,0,Illustrator,0
25,Female,0.7,0.7,3,Visual Communication,0.9,0.7,0,Illustrator,0
30,Male,0.7,0.7,6,Interior Design,0.8,0.9,0,Illustrator,0
32,Female,0.7,0.7,4,Graphic Design,1,0.9,0,Illustrator,0
32,Male,0.7,0.7,7,Graphic Design,1,0.9,0,Illustrator,0
22,Female,0.7,0.7,2,Multimedia Arts,0.85,0.9,0,Illustrator,0
35,Male,0.7,0.7,8,Digital Arts,0.9,0.9,0,Illustrator,0
27,Female,0.6,0.6,3,Communication Arts,0.9,0.7,0,Illustrator,0
29,Male,0.7,0.7,5,Illustration,1,0.9,0,Illustrator,0
24,Female,0.7,0.7,2,Graphic Design,0.9,0.9,0,Illustrator,0
