age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
38,male,0.8,0.8,3,Computer Science,0.9,0.9,0,Web Developer,0
26,female,0.9,0.9,3,Information Technology,0.9,0.9,0,Web Developer,0
30,male,0.8,0.8,5,Computer Science,1,0.6,0,Web Developer,0
27,female,0.8,0.8,3,Computer Science,1,0.9,0,Web Developer,0
26,female,0.8,0.8,2,Computer Science,0.9,0.9,0,Web Developer,0
25,female,0.8,0.8,4,Information Technology,1,0.4,0,Web Developer,0
31,male,0.8,0.8,5,Computer Science,1,0.9,0,Web Developer,0
24,female,0.7,0.7,2,Information Technology,0.9,0.9,0,Web Developer,0
33,male,0.9,0.9,5,Computer Science,1,0.7,0,Web Developer,0
27,female,0.8,0.8,3,Information Technology,0.9,0.9,0,Web Developer,0
30,male,0.8,0.8,4,Computer Science,0.9,0.8,0,Database Administrator,0
25,female,0.8,0.8,3,Information Technology,0.9,0.6,0,Database Administrator,0
32,male,0.7,0.8,4,Computer Science,0.9,0.9,0,Database Administrator,0
29,male,0.8,0.8,2,Computer Science,0.9,0.5,0,Database Administrator,0
29,male,0.8,0.8,3,Computer Science,0.9,0.8,0,Database Administrator,0
33,male,0.9,0.9,4,Computer Science,0.9,0.6,0,Database Administrator,0
25,male,0.8,0.8,4,Computer Science,0.9,0.9,0,Database Administrator,0
36,female,0.7,0.7,3,Information Technology,0.9,0.8,0,Database Administrator,0
34,male,0.8,0.8,6,Computer Science,0.9,0.6,0,Database Administrator,0
27,male,0.8,0.8,4,Computer Science,0.9,0.9,0,Database Administrator,0
28,male,0.5,0.5,2,Information Technology,0.9,0.9,0,System Analyst,0
25,female,0.7,0.7,2,Computer Science,0.6,0.9,0,System Analyst,0
28,male,0.8,0.8,3,Information Technology,0.6,0.9,0,System Analyst,0
27,female,0.7,0.7,2,Information Technology,0.9,0.9,0,System Analyst,0
29,male,0.7,0.7,4,Computer Engineering,0.9,0.9,0,System Analyst,0
27,female,0.7,0.7,3,Computer Science,0.9,0.9,0,System Analyst,0
27,male,0.8,0.8,4,Computer Science,0.9,0.9,0,System Analyst,0
26,female,0.7,0.7,2,Computer Science,0.9,0.9,0,System Analyst,0
31,male,0.7,0.7,4,Computer Engineering,0.9,0.9,0,System Analyst,0
28,male,0.7,0.7,3,Computer Science,0.9,0.9,0,System Analyst,0
28,male,0.8,0.8,3,Computer Science,1,0.9,0,Mobile Developer,0
25,female,0.8,0.8,4,Information Technology,1,0.6,0,Mobile App Developer,0
29,male,0.9,0.9,5,Computer Engineering,1,0.9,0,Mobile App Developer,0
26,male,0.8,0.8,2,Information Technology,1,0.9,0,Mobile App Developer,0
34,male,0.8,0.8,6,Computer Science,0.9,0.9,0,Mobile App Developer,0
35,female,0.8,0.8,8,Computer Engineering,1,0.9,0,Mobile App Developer,0
29,male,0.9,0.9,4,Computer Science,1,0.9,0,Mobile App Developer,0
26,female,0.8,0.8,3,Information Technology,0.8,0.9,0,Mobile App Developer,0
31,male,0.8,0.8,6,Computer Science,1,0.8,0,Mobile App Developer,0
36,male,0.8,0.8,10,Computer Science,1,0.8,0,Mobile App Developer,0
28,male,0.7,0.7,3,Information Technology,0.9,0.9,1,Network Administrator,0
29,female,0.7,0.7,4,Computer Science,0.9,0.7,0,Network Administrator,0
30,male,0.8,0.8,5,Computer Science,0.9,0.76,1,Network Administrator,0
27,female,0.6,0.6,2,Information Technology,0.9,0.9,0,Network Administrator,0
29,male,0.7,0.7,4,Information Technology,0.9,0.82,1,Network Administrator,0
29,male,0.7,0.7,3,Information Technology,0.9,0.9,0,Network Administrator,0
34,female,0.8,0.8,5,Information Technology,0.9,0.9,1,Network Administrator,0
34,male,0.6,0.6,8,Computer Science,0.9,0.84,0,Network Administrator,0
32,male,0.8,0.8,6,Computer Science,0.9,1,1,Network Administrator,0
27,male,0.7,0.7,2,Information Technology,1,0.9,0,Network Administrator,0
