age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
24,female,0.6,0.7,2,"Special Education, Psychology",0.8,0.9,1,SPED Teacher,1
26,male,0.6,0.6,3,"Special Education, Psychology",0.9,0.8,1,SPED Teacher,1
24,female,0.5,0.5,2,"Special Education, Psychology",0.9,0.9,1,SPED Teacher,1
27,male,0.8,0.8,3,"Special Education, Psychology",0.9,0.9,1,SPED Teacher,1
23,female,0.8,0.8,2,"Special Education, Psychology",0.9,0.9,1,SPED Teacher,1
24,male,0.6,0.6,4,"Special Education, Psychology",1,0.9,1,SPED Teacher,1
26,female,0.7,0.7,1,"Special Education, Psychology",0.9,0.9,1,SPED Teacher,1
28,male,0.6,0.6,4,"Special Education, Psychology",0.9,0.9,1,SPED Teacher,1
30,female,0.5,0.5,1,"Special Education, Psychology",0.9,0.9,1,SPED Teacher,1
29,male,0.9,0.9,5,"Special Education, Psychology",1,0.9,1,SPED Teacher,1
27,female,0.7,0.7,2,Biology,1,0.9,0,Researcher,0
29,male,0.8,0.8,3,Economics,0.9,1,0,Researcher,0
23,female,0.6,0.6,1,Computer Science,0.9,0.9,0,Researcher,0
31,male,0.8,0.8,6,Nursing,1,0.9,0,Researcher,0
28,female,0.7,0.7,3,Sociology,0.9,0.9,0,Researcher,0
31,male,0.7,0.7,6,Business Administration,0.9,0.9,0,Researcher,0
25,female,0.7,0.7,2,Environmental Science,0.9,0.9,0,Researcher,0
32,male,0.7,0.7,4,Political Science,0.9,0.9,0,Researcher,0
28,female,0.8,0.9,2,Biomedical Sciences,0.9,0.9,0,Researcher,0
35,male,0.6,0.6,6,Pharmacy,0.9,0.9,0,Researcher,0
35,female,0.9,0.9,6,Computer Science,0.9,0.8,1,College Professor,1
40,male,0.8,0.8,18,History,0.9,0.9,1,College Professor,1
32,female,0.8,0.8,9,Environmental Science,0.9,0.9,1,College Professor,1
38,male,0.8,0.8,10,Business Administration,0.9,0.9,1,College Professor,1
36,female,0.8,0.8,9,Chemistry,0.9,0.9,1,College Professor,1
42,female,0.8,0.8,21,Psychology,0.9,0.9,1,College Professor,1
34,male,0.8,0.8,6,Mechanical Engineering,0.5,0.9,1,College Professor,1
39,female,0.8,0.8,17,English Literature,0.9,0.9,1,College Professor,1
33,female,0.8,0.8,5,Civil Engineering,0.9,0.9,1,College Professor,1
37,male,0.8,0.8,10,Political Science,0.9,0.9,1,College Professor,1
