age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
26,female,0.6,0.6,2,Hospitality Management ,0.9,0.9,0,Recruiter,0
28,male,0.6,0.6,3,Business Administration,0.9,0.9,0,Recruiter,0
27,female,0.5,0.5,2,Psychology,0.9,0.9,0,Recruiter,0
29,female,0.7,0.7,3,Hospitality Management,0.9,0.9,0,Recruiter,0
26,female,0.7,0.7,2,Hospitality Managemnet ,0.9,0.9,0,Recruiter,0
27,male,0.6,0.6,2,Business Administration,0.9,0.9,0,Recruiter,0
28,male,0.7,0.7,3,Hospitality Managhrnet,0.9,0.9,0,Recruiter,0
29,female,0.7,0.7,4,Hospitality Management,0.9,0.9,0,Recruiter,0
27,female,0.6,0.6,2,Business Administration,0.9,0.9,0,Recruiter,0
28,female,0.5,0.5,3,Business Administration,0.9,0.9,0,Recruiter,0
35,female,0.9,0.9,9,Hospitality Management,0.9,0.9,0,HR Manager,0
37,male,0.9,0.9,9,Psychology,0.94,0.8,0,HR Manager,0
36,female,0.9,0.9,7,Hospitality Management,0.9,1,0,HR Manager,0
38,female,0.9,0.9,7,Hospitality Management,0.9,0.9,0,HR Manager,0
34,female,0.9,0.9,4,Psychology,0.9,0.9,0,HR Manager,0
36,female,0.9,0.9,10,Hospitality Management,0.9,0.9,0,HR Manager,0
39,male,0.9,0.9,7,Hospitality Management,0.9,0.9,0,HR Manager,0
35,male,0.9,0.9,9,Business Management,0.9,0.9,0,HR Manager,0
37,female,0.9,0.9,6,Psychology,1,0.9,0,HR Manager,0
40,female,0.9,0.9,9,Hospitality Management,0.9,0.9,0,HR Manager,0
32,female,0.7,0.7,6,Hotel and Restaurant Management,0.9,0.9,0,Office Manager,0
35,female,0.8,0.8,7,Business Management,0.9,0.9,0,Office Manager,0
28,female,0.6,0.6,5,Hotel and Restaurant Management,0.9,0.9,0,Office Manager,0
34,female,0.6,0.6,6,Business Management,0.9,0.9,0,Office Manager,0
29,female,0.7,0.7,5,Hotel and Restaurant Management,0.9,0.9,0,Office Manager,0
33,male,0.8,0.8,7,Business Management,0.9,0.9,0,Office Manager,0
30,female,0.7,0.7,6,Hotel and Restaurant Management,0.9,0.9,0,Office Manager,0
36,male,0.6,0.6,7,Hotel and Restaurant Management,0.9,0.9,0,Office Manager,0
31,male,0.7,0.7,6,Business Management,0.9,1,0,Office Manager,0
37,female,0.9,0.9,7,Business Management,0.9,0.9,0,Office Manager,0
27,female,0.6,0.6,3,Social Work,0.6,0.9,0,Project Coordinator,0
26,male,0.7,0.7,2,Social Sciences,0.9,0.9,0,Project Coordinator,0
29,female,0.7,0.7,3,Psychology,0.9,0.9,0,Project Coordinator,0
27,male,0.6,0.6,2,Social Work,0.9,0.9,0,Project Coordinator,0
30,female,0.7,0.7,3,Social Sciences,0.9,1,0,Project Coordinator,0
25,female,0.6,0.6,2,Social Work,0.9,0.9,0,Project Coordinator,0
28,female,0.7,0.7,3,Psychology,0.9,0.9,0,Project Coordinator,0
26,female,0.6,0.6,2,Social Work,0.7,0.9,0,Project Coordinator,0
29,female,0.7,0.7,3,Social Sciences,0.9,0.9,0,Project Coordinator,0
27,male,0.5,0.5,2,Psychology,0.9,0.9,0,Project Coordinator,0
26,female,0.4,0.4,4,Administration,0.8,0.9,0,Clerk,0
25,female,0.3,0.4,3,Information Technology,0.8,0.9,0,Clerk,0
30,female,0.3,0.3,5,Information Technology,0.9,0.6,0,Clerk,0
23,female,0.4,0.4,2,Business Management,0.9,0.9,0,Clerk,0
29,male,0.4,0.4,3,Psychology,0.9,0.7,0,Clerk,0
24,female,0.3,0.3,4,Tourism,0.9,0.9,0,Clerk,0
28,male,0.3,0.3,3,Financial Management,0.9,0.9,0,Clerk,0
31,female,0.3,0.3,5,Public Administration,0.7,0.9,0,Clerk,0
27,female,0.3,0.3,4,Business Management,0.9,0.9,0,Clerk,0
28,male,0.7,0.7,2,Information Systems,0.9,0.9,0,Clerk,0
