age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
32,Female,0.8,0.8,5,Nursing,1,0.9,1,Nurse,0
27,Male,0.8,0.8,4,Nursing,0.85,0.9,1,Nurse,0
35,Female,0.8,0.8,7,Nursing,1,0.9,1,Nurse,0
29,Male,0.8,0.8,6,Nursing,1,0.8,1,Nurse,0
24,Female,0.8,0.8,8,Psychiatric Nursing,1,0.9,1,Nurse,0
31,Male,0.8,0.8,3,Nursing,0.9,0.9,1,Nurse,0
33,Female,0.8,0.8,9,Nursing,1,0.9,1,Nurse,0
28,Male,0.8,0.8,6,Nursing,1,0.9,1,Nurse,0
26,Female,0.7,0.7,4,Nursing,1,0.9,1,Nurse,0
30,Male,0.8,0.8,5,Nursing,0.87,0.9,1,Nurse,0
34,Male,0.9,0.9,12,Radiologic Technology,1,-1,1,Radiologist,0
29,Female,0.9,1,8,Radiologic Technology,1,0.6,1,Radiologist,0
36,Male,0.9,0.9,10,Radiologic Technology,1,0.9,1,Radiologist,0
31,Female,0.9,0.9,9,Radiologic Technology,0.9,0.9,1,Radiologist,0
35,Male,0.9,0.9,11,Radiologic Technology,0.9,0.7,1,Radiologist,0
30,Female,0.9,0.9,7,Radiologic Technology,1,0.9,1,Radiologist,0
33,Male,0.9,0.9,10,Radiologic Technology,0.95,0.7,1,Radiologist,0
28,Female,0.9,0.9,6,Radiologic Technology,1,0.9,1,Radiologist,0
34,Male,0.9,0.9,8,Radiologic Technology,1,0.7,1,Radiologist,0
29,Female,0.8,0.8,5,Radiologic Technology,1,0.8,1,Radiologist,0
30,Female,0.7,0.7,8,Physical Therapy,1,0.9,1,Physical Therapist,0
28,Male,0.8,0.7,6,Orthopedic Physical Therapy,0.9,0.8,1,Physical Therapist,0
32,Female,0.8,0.8,7,Physical Therapy,1,0.9,1,Physical Therapist,0
29,Male,0.8,0.8,6,Physical Therapy,1,0.9,1,Physical Therapist,0
33,Female,0.8,0.8,9,Geriatric Physical Therapy,1,0.9,1,Physical Therapist,0
27,Male,0.8,0.8,5,Pediatric Physical Therapy,0.9,0.9,1,Physical Therapist,0
31,Female,0.8,0.8,8,Physical Therapy,1,0.9,1,Physical Therapist,0
26,Male,0.8,0.8,4,Physical Therapy,0.7,0.9,1,Physical Therapist,0
34,Female,0.7,0.7,10,Aquatic Physical Therapy,1,0.9,1,Physical Therapist,0
30,Male,0.8,0.8,7,Physical Therapy,1,0.9,1,Physical Therapist,0
28,Female,0.7,0.7,6,Dental Hygiene,1,0.9,1,Dental Hygienist,0
25,Male,0.7,0.8,4,Dental Hygiene,0.9,-1,1,Dental Hygienist,0
30,Female,0.7,0.7,7,Dental Hygiene,1,-1,1,Dental Hygienist,0
26,Male,0.8,0.8,5,Dental Hygiene,1,0.8,1,Dental Hygienist,0
32,Female,0.7,0.7,8,Dental Hygiene,1,0.9,1,Dental Hygienist,0
27,Male,0.7,0.7,6,Dental Hygiene,1,0.9,1,Dental Hygienist,0
29,Female,0.7,0.7,5,Dental Hygiene,1,0.8,1,Dental Hygienist,0
31,Male,0.7,0.8,7,Dental Hygiene,1,0.7,1,Dental Hygienist,0
24,Female,0.7,0.7,4,Dental Hygiene,0.9,0.7,1,Dental Hygienist,0
33,Male,0.8,0.8,8,Dental Hygiene,1,0.9,1,Dental Hygienist,0
