age,gender,experience_role,experience,experience_years,degree,hard_skills,soft_skills,certifications,job_position,training
28,Male,0.6,0.6,4,Hospitality,0.9,0.9,0,BPO,0
32,Female,0.6,0.6,3,Hotel Management,0.9,0.9,0,BPO,0
30,Male,0.5,0.5,5,Tourism Management,0.7,0.9,0,BPO,0
26,Female,0.6,0.6,2,High School,0.9,0.9,0,BPO,0
32,Male,0.7,0.7,6,Information Technology,0.9,0.9,0,BPO,0
22,Female,0.6,0.6,1,Customer Service,0.9,0.9,0,BPO,0
35,Male,0.6,0.6,7,Culinary Arts,"0,6",0.9,0,BPO,0
27,Female,0.7,0.7,4,Commerce,0.9,0.9,0,BPO,0
29,Male,0.7,0.7,5,Business Administration,0.5,0.9,0,BPO,0
24,Female,0.8,0.8,2,Hospitality Management,0.6,0.9,0,BPO,0
28,Male,0.7,0.7,8,Culinary Arts,1,0.9,1,Hotel & Restaurant,1
24,Female,0.5,0.5,3,Hospitality Management,0.9,0.9,1,Hotel & Restaurant,1
32,Male,0.8,0.8,6,Business Administration,0.9,0.9,1,Hotel & Restaurant,1
27,Male,0.7,0.7,5,Culinary Arts,0.9,0.9,1,Hotel & Restaurant,1
30,Female,0.7,0.7,4,Event Management,0.9,0.9,1,Hotel & Restaurant,1
22,Female,0.5,0.5,2,Culinary Arts,0.9,0.9,1,Hotel & Restaurant,1
35,Female,0.9,0.9,10,Hotel Management,0.9,0.9,1,Hotel & Restaurant,1
27,Male,0.6,0.6,3,Hospitality,0.9,0.9,1,Hotel & Restaurant,1
29,Female,0.6,0.6,7,Pastry Arts,1,0.9,1,Hotel & Restaurant,1
25,Male,0.6,0.6,4,Hotel Management,0.9,0.9,1,Hotel & Restaurant,1
28,Male,0.6,0.6,4,Mathematics,0.9,0.9,1,Tutor,0
27,Female,0.7,0.7,3,English,0.9,0.9,1,Tutor,0
30,Male,0.7,0.6,5,Biology,0.9,0.9,1,Tutor,0
26,Female,0.7,0.7,2,Education,0.9,0.9,0,Tutor,0
32,Male,0.6,0.6,6,Music Education,1,0.9,0,Tutor,0
22,Female,0.8,0.8,1,Computer Science,0.9,0.9,0,Tutor,0
35,Male,0.7,0.7,7,Exercise Physiology,-1,0.9,1,Tutor,0
27,Female,0.7,0.7,4,Visual Arts,0.9,0.9,0,Tutor,0
29,Male,7,7,5,Linguistics,0.9,0.9,0,Tutor,0
24,Male,0.7,0.7,2,History,0.9,0.9,1,Tutor,0
28,Male,0.8,0.8,6,Hotel Management,0.9,0.5,1,Housekeeping,1
25,Female,0.4,0.4,3,Hospitality,1,0.9,1,Housekeeping,1
28,Male,0.6,0.6,5,Laundry Services,1,0.9,1,Housekeeping,1
26,Female,0.8,0.8,2,Environmental Management,0.9,0.6,1,Housekeeping,1
32,Female,0.3,0.3,7,High School,1,0.9,1,Housekeeping,1
22,Female,0.5,0.5,1,Hotel Housekeeping,1,0.3,1,Housekeeping,1
28,Male,0.6,0.6,8,Business Administration,-1,0.7,1,Housekeeping,1
27,Female,0.5,0.5,4,Floor Care Services,0.9,0.9,1,Housekeeping,1
29,Male,0.7,0.7,5,Education,0.9,0.7,1,Housekeeping,1
24,Female,0.7,0.7,2,Maritime Hotel Operations,1,0.9,1,Housekeeping,1
28,Male,0.9,0.9,10,Culinary Arts,0.9,0.7,0,Chef,0
25,Female,0.8,0.8,7,Culinary Management,1,0.9,0,Chef,0
30,Female,0.8,0.8,8,Pastry Arts,0.85,0.9,0,Chef,0
28,Female,0.7,0.7,5,Culinary Arts,1,0.9,0,Chef,0
32,Male,0.8,0.8,12,Hotel and Restaurant Management,0.9,0.6,0,Chef,0
22,Male,0.8,0.8,3,Home Economics,1,0.9,0,Chef,0
35,Male,0.8,0.8,9,Japanese Culinary Arts,0.9,0.9,0,Chef,0
27,Female,0.8,0.8,6,Food Science,1,0.7,0,Chef,0
29,Male,0.7,0.7,11,Maritime Hotel Operations,1,0.9,0,Chef,0
24,Female,0.8,0.8,4,Nutrition and Dietetics,0.9,0.9,0,Chef,0
28,Male,0.8,0.8,8,Hotel and Restaurant Management,0.9,0.9,0,Catering Manager,0
25,Female,0.7,0.7,5,Hospitality Management,0.75,0.9,0,Catering Manager,0
30,Male,0.8,0.8,7,Event Planning,0.9,0.9,0,Catering Manager,0
26,Female,0.8,0.8,6,Business Administration,0.85,0.9,0,Catering Manager,0
32,Male,0.8,0.8,9,Culinary Arts,1,0.9,0,Catering Manager,0
22,Female,0.7,0.7,4,Tourism Management,0.9,0.9,0,Catering Manager,0
35,Male,0.7,0.7,10,Business Administration,0.9,0.9,0,Catering Manager,0
28,Female,0.8,0.9,8,Marketing,0.9,0.9,0,Catering Manager,0
29,Male,0.8,0.8,11,Culinary Arts,0.9,0.9,0,Catering Manager,0
24,Female,0.8,0.8,5,Hospitality Management,0.8,0.9,0,Catering Manager,0
