age,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_position
30,0.8,0.8,3,0.9,1,True,Accountancy,False,Accountant
32,1,0.9,5,0.9,0.2,True,Accountancy,False,Accountant
30,0.8,0.7,4,0.9,0.6,True,Accountancy,False,Accountant
29,0.5,0.5,4,0.85,0.5,True,Accountancy,False,Accountant
31,0.6,0.6,5,0.8,-1,True,Accountancy,False,Accountant
27,0.5,0.4,3,0.9,0.9,True,Accountancy,False,Accountant
33,0.7,0.7,4,0.9,0.9,True,Accountancy,False,Accountant
28,0.6,0.6,3,0.87,0.9,True,Accountancy,False,Accountant
28,0.5,0.5,3,0.9,0.7,True,Accountancy,False,Accountant
33,0.8,0.8,5,0.8,0.7,True,Accountancy,False,Accountant
34,0.9,0.9,8,0.87,0.9,False,Finance,False,Financial Manager
36,0.8,0.8,5,0.9,1,True,Accountancy,False,Financial Manager
32,0.7,0.8,7,0.9,0.9,True,Finance,False,Financial Manager
35,0.9,0.9,5,0.9,0.9,False,Financial Management,False,Financial Manager
33,0.8,0.8,5,0.9,0.9,True,Accountancy,False,Financial Manager
37,0.9,0.8,8,0.9,0.9,False,Finance,False,Financial Manager
31,0.9,0.9,6,0.9,0.9,True,Financial Management,False,Financial Manager
34,0.8,0.8,5,0.9,0.9,True,Accountancy,False,Financial Manager
30,0.8,0.8,8,0.9,0.9,True,Finance,False,Financial Manager
35,0.9,0.9,9,1,0.9,True,Financial Management,False,Financial Manager
28,0.5,0.4,2,0.9,0.9,True,Accountancy,False,Bookkeeper
25,0.4,0.3,1,1,0.9,True,Financial Management,False,Bookkeeper
27,0.4,0.4,3,0.9,0.9,True,Banking and Finance,False,Bookkeeper
24,0.3,0.3,1,0.9,0.9,True,Financial Management,False,Bookkeeper
26,0.4,0.4,5,0.9,0.9,True,Accountancy,False,Bookkeeper
23,0.3,0.3,1,0.8,0.9,True,Financial Management,False,Bookkeeper
28,0.4,0.4,3,0.9,0.9,True,Financial Management,False,Bookkeeper
25,0.3,0.3,1,0.9,0.9,True,Accountancy,False,Bookkeeper
27,0.3,0.3,1,0.9,0.9,True,Banking and Finance,False,Bookkeeper
24,0.4,0.4,3,1,0.9,True,Financial Management,False,Bookkeeper
28,0.6,0.6,2,0.9,0.84,False,Business Administration,False,Financial Advisor
30,0.6,0.6,3,0.9,0.82,False,Economics,False,Financial Advisor
26,0.6,0.6,2,0.9,0.9,False,Financial Management,False,Financial Advisor
29,0.7,0.7,3,0.9,0.9,False,Marketing,False,Financial Advisor
27,0.7,0.7,2,1,0.9,False,Business Management,False,Financial Advisor
33,0.7,0.7,3,0.9,0.9,False,Economics,False,Financial Advisor
29,0.8,0.8,5,1,0.9,True,Business Management,False,Financial Advisor
30,0.8,0.8,6,0.7,0.84,True,Economics,False,Financial Advisor
35,0.8,0.8,6,0.9,0.9,True,Business Administration,False,Financial Advisor
36,0.9,0.9,9,0.9,0.9,False,Financial Management,False,Financial Advisor
29,0.7,0.7,3,0.9,0.7,True,Accountancy,False,Auditor
31,0.7,0.7,3,0.9,0.86,True,Accountancy,False,Auditor
28,0.5,0.5,5,0.9,0.9,True,Accountancy,False,Auditor
29,0.7,0.7,4,0.9,0.9,True,Financial Management,False,Auditor
30,0.7,0.7,5,0.9,0.9,True,Accountancy,False,Auditor
29,0.7,0.7,5,0.9,0.6,True,Finance,False,Auditor
33,0.8,0.8,6,0.9,0.9,True,Accountancy,False,Auditor
28,0.5,0.5,3,0.9,0.9,True,Accountancy,False,Auditor
31,0.7,0.7,5,0.9,0.9,True,Accountancy,False,Auditor
34,0.8,0.8,6,0.9,0.9,True,Accountancy,False,Auditor
