age,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_position
38,0.8,0.8,3,0.9,0.9,FALSE,Computer Science,FALSE,Web Developer
26,0.9,0.9,3,0.9,0.9,FALSE,Information Technology,FALSE,Web Developer
30,0.8,0.8,5,1,0.6,FALSE,Computer Science,FALSE,Web Developer
27,0.8,0.8,3,1,0.9,FALSE,Computer Science,FALSE,Web Developer
26,0.8,0.8,2,0.9,0.9,FALSE,Computer Science,FALSE,Web Developer
25,0.8,0.8,4,1,0.4,FALSE,Information Technology,FALSE,Web Developer
31,0.8,0.8,5,1,0.9,FALSE,Computer Science,FALSE,Web Developer
24,0.7,0.7,2,0.9,0.9,FALSE,Information Technology,FALSE,Web Developer
33,0.9,0.9,5,1,0.7,FALSE,Computer Science,FALSE,Web Developer
27,0.8,0.8,3,0.9,0.9,FALSE,Information Technology,FALSE,Web Developer
30,0.8,0.8,4,0.9,0.8,FALSE,Computer Science,FALSE,Database Administrator
25,0.8,0.8,3,0.9,0.6,FALSE,Information Technology,FALSE,Database Administrator
32,0.8,0.7,4,0.9,0.9,FALSE,Computer Science,FALSE,Database Administrator
29,0.8,0.8,2,0.9,0.5,FALSE,Computer Science,FALSE,Database Administrator
29,0.8,0.8,3,0.9,0.8,FALSE,Computer Science,FALSE,Database Administrator
33,0.9,0.9,4,0.9,0.6,FALSE,Computer Science,FALSE,Database Administrator
25,0.8,0.8,4,0.9,0.9,FALSE,Computer Science,FALSE,Database Administrator
36,0.7,0.7,3,0.9,0.8,FALSE,Information Technology,FALSE,Database Administrator
34,0.8,0.8,6,0.9,0.6,FALSE,Computer Science,FALSE,Database Administrator
27,0.8,0.8,4,0.9,0.9,FALSE,Computer Science,FALSE,Database Administrator
28,0.5,0.5,2,0.9,0.9,FALSE,Information Technology,FALSE,System Analyst
25,0.7,0.7,2,0.6,0.9,FALSE,Computer Science,FALSE,System Analyst
28,0.8,0.8,3,0.6,0.9,FALSE,Information Technology,FALSE,System Analyst
27,0.7,0.7,2,0.9,0.9,FALSE,Information Technology,FALSE,System Analyst
29,0.7,0.7,4,0.9,0.9,FALSE,Computer Engineering,FALSE,System Analyst
27,0.7,0.7,3,0.9,0.9,FALSE,Computer Science,FALSE,System Analyst
27,0.8,0.8,4,0.9,0.9,FALSE,Computer Science,FALSE,System Analyst
26,0.7,0.7,2,0.9,0.9,FALSE,Computer Science,FALSE,System Analyst
31,0.7,0.7,4,0.9,0.9,FALSE,Computer Engineering,FALSE,System Analyst
28,0.7,0.7,3,0.9,0.9,FALSE,Computer Science,FALSE,System Analyst
28,0.8,0.8,3,1,0.9,FALSE,Computer Science,FALSE,Mobile Developer
25,0.8,0.8,4,1,0.6,FALSE,Information Technology,FALSE,Mobile App Developer
29,0.9,0.9,5,1,0.9,FALSE,Computer Engineering,FALSE,Mobile App Developer
26,0.8,0.8,2,1,0.9,FALSE,Information Technology,FALSE,Mobile App Developer
34,0.8,0.8,6,0.9,0.9,FALSE,Computer Science,FALSE,Mobile App Developer
35,0.8,0.8,8,1,0.9,FALSE,Computer Engineering,FALSE,Mobile App Developer
29,0.9,0.9,4,1,0.9,FALSE,Computer Science,FALSE,Mobile App Developer
26,0.8,0.8,3,0.8,0.9,FALSE,Information Technology,FALSE,Mobile App Developer
31,0.8,0.8,6,1,0.8,FALSE,Computer Science,FALSE,Mobile App Developer
36,0.8,0.8,10,1,0.8,FALSE,Computer Science,FALSE,Mobile App Developer
28,0.7,0.7,3,0.9,0.9,TRUE,Information Technology,FALSE,Network Administrator
29,0.7,0.7,4,0.9,0.7,FALSE,Computer Science,FALSE,Network Administrator
30,0.8,0.8,5,0.9,0.76,TRUE,Computer Science,FALSE,Network Administrator
27,0.6,0.6,2,0.9,0.9,FALSE,Information Technology,FALSE,Network Administrator
29,0.7,0.7,4,0.9,0.82,TRUE,Information Technology,FALSE,Network Administrator
29,0.7,0.7,3,0.9,0.9,FALSE,Information Technology,FALSE,Network Administrator
34,0.8,0.8,5,0.9,0.9,TRUE,Information Technology,FALSE,Network Administrator
34,0.6,0.6,8,0.9,0.84,FALSE,Computer Science,FALSE,Network Administrator
32,0.8,0.8,6,0.9,1,TRUE,Computer Science,FALSE,Network Administrator
27,0.7,0.7,2,1,0.9,FALSE,Information Technology,FALSE,Network Administrator
