age,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_position
32,0.8,0.8,5,1,0.9,TRUE,Nursing,FALSE,Nurse
27,0.8,0.8,4,0.85,0.9,TRUE,Nursing,FALSE,Nurse
35,0.8,0.8,7,1,0.9,TRUE,Nursing,FALSE,Nurse
29,0.8,0.8,6,1,0.8,TRUE,Nursing,FALSE,Nurse
24,0.8,0.8,8,1,0.9,TRUE,Psychiatric Nursing,FALSE,Nurse
31,0.8,0.8,3,0.9,0.9,TRUE,Nursing,FALSE,Nurse
33,0.8,0.8,9,1,0.9,TRUE,Nursing,FALSE,Nurse
28,0.8,0.8,6,1,0.9,TRUE,Nursing,FALSE,Nurse
26,0.7,0.7,4,1,0.9,TRUE,Nursing,FALSE,Nurse
30,0.8,0.8,5,0.87,0.9,TRUE,Nursing,FALSE,Nurse
34,0.9,0.9,12,1,-1,TRUE,Radiologic Technology,FALSE,Radiologist
29,1,0.9,8,1,0.6,TRUE,Radiologic Technology,FALSE,Radiologist
36,0.9,0.9,10,1,0.9,TRUE,Radiologic Technology,FALSE,Radiologist
31,0.9,0.9,9,0.9,0.9,TRUE,Radiologic Technology,FALSE,Radiologist
35,0.9,0.9,11,0.9,0.7,TRUE,Radiologic Technology,FALSE,Radiologist
30,0.9,0.9,7,1,0.9,TRUE,Radiologic Technology,FALSE,Radiologist
33,0.9,0.9,10,0.95,0.7,TRUE,Radiologic Technology,FALSE,Radiologist
28,0.9,0.9,6,1,0.9,TRUE,Radiologic Technology,FALSE,Radiologist
34,0.9,0.9,8,1,0.7,TRUE,Radiologic Technology,FALSE,Radiologist
29,0.8,0.8,5,1,0.8,TRUE,Radiologic Technology,FALSE,Radiologist
30,0.7,0.7,8,1,0.9,TRUE,Physical Therapy,FALSE,Physical Therapist
28,0.7,0.8,6,0.9,0.8,TRUE,Orthopedic Physical Therapy,FALSE,Physical Therapist
32,0.8,0.8,7,1,0.9,TRUE,Physical Therapy,FALSE,Physical Therapist
29,0.8,0.8,6,1,0.9,TRUE,Physical Therapy,FALSE,Physical Therapist
33,0.8,0.8,9,1,0.9,TRUE,Geriatric Physical Therapy,FALSE,Physical Therapist
27,0.8,0.8,5,0.9,0.9,TRUE,Pediatric Physical Therapy,FALSE,Physical Therapist
31,0.8,0.8,8,1,0.9,TRUE,Physical Therapy,FALSE,Physical Therapist
26,0.8,0.8,4,0.7,0.9,TRUE,Physical Therapy,FALSE,Physical Therapist
34,0.7,0.7,10,1,0.9,TRUE,Aquatic Physical Therapy,FALSE,Physical Therapist
30,0.8,0.8,7,1,0.9,TRUE,Physical Therapy,FALSE,Physical Therapist
28,0.7,0.7,6,1,0.9,TRUE,Dental Hygiene,FALSE,Dental Hygienist
25,0.8,0.7,4,0.9,-1,TRUE,Dental Hygiene,FALSE,Dental Hygienist
30,0.7,0.7,7,1,-1,TRUE,Dental Hygiene,FALSE,Dental Hygienist
26,0.8,0.8,5,1,0.8,TRUE,Dental Hygiene,FALSE,Dental Hygienist
32,0.7,0.7,8,1,0.9,TRUE,Dental Hygiene,FALSE,Dental Hygienist
27,0.7,0.7,6,1,0.9,TRUE,Dental Hygiene,FALSE,Dental Hygienist
29,0.7,0.7,5,1,0.8,TRUE,Dental Hygiene,FALSE,Dental Hygienist
31,0.8,0.7,7,1,0.7,TRUE,Dental Hygiene,FALSE,Dental Hygienist
24,0.7,0.7,4,0.9,0.7,TRUE,Dental Hygiene,FALSE,Dental Hygienist
33,0.8,0.8,8,1,0.9,TRUE,Dental Hygiene,FALSE,Dental Hygienist
