age,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_position
26,0.6,0.6,2,0.9,0.9,FALSE,Hospitality Management ,FALSE,Recruiter
28,0.6,0.6,3,0.9,0.9,FALSE,Business Administration,FALSE,Recruiter
27,0.5,0.5,2,0.9,0.9,FALSE,Psychology,FALSE,Recruiter
29,0.7,0.7,3,0.9,0.9,FALSE,Hospitality Management,FALSE,Recruiter
26,0.7,0.7,2,0.9,0.9,FALSE,Hospitality Managemnet ,FALSE,Recruiter
27,0.6,0.6,2,0.9,0.9,FALSE,Business Administration,FALSE,Recruiter
28,0.7,0.7,3,0.9,0.9,FALSE,Hospitality Managhrnet,FALSE,Recruiter
29,0.7,0.7,4,0.9,0.9,FALSE,Hospitality Management,FALSE,Recruiter
27,0.6,0.6,2,0.9,0.9,FALSE,Business Administration,FALSE,Recruiter
28,0.5,0.5,3,0.9,0.9,FALSE,Business Administration,FALSE,Recruiter
35,0.9,0.9,9,0.9,0.9,FALSE,Hospitality Management,FALSE,HR Manager
37,0.9,0.9,9,0.94,0.8,FALSE,Psychology,FALSE,HR Manager
36,0.9,0.9,7,0.9,1,FALSE,Hospitality Management,FALSE,HR Manager
38,0.9,0.9,7,0.9,0.9,FALSE,Hospitality Management,FALSE,HR Manager
34,0.9,0.9,4,0.9,0.9,FALSE,Psychology,FALSE,HR Manager
36,0.9,0.9,10,0.9,0.9,FALSE,Hospitality Management,FALSE,HR Manager
39,0.9,0.9,7,0.9,0.9,FALSE,Hospitality Management,FALSE,HR Manager
35,0.9,0.9,9,0.9,0.9,FALSE,Business Management,FALSE,HR Manager
37,0.9,0.9,6,1,0.9,FALSE,Psychology,FALSE,HR Manager
40,0.9,0.9,9,0.9,0.9,FALSE,Hospitality Management,FALSE,HR Manager
32,0.7,0.7,6,0.9,0.9,FALSE,Hotel and Restaurant Management,FALSE,Office Manager
35,0.8,0.8,7,0.9,0.9,FALSE,Business Management,FALSE,Office Manager
28,0.6,0.6,5,0.9,0.9,FALSE,Hotel and Restaurant Management,FALSE,Office Manager
34,0.6,0.6,6,0.9,0.9,FALSE,Business Management,FALSE,Office Manager
29,0.7,0.7,5,0.9,0.9,FALSE,Hotel and Restaurant Management,FALSE,Office Manager
33,0.8,0.8,7,0.9,0.9,FALSE,Business Management,FALSE,Office Manager
30,0.7,0.7,6,0.9,0.9,FALSE,Hotel and Restaurant Management,FALSE,Office Manager
36,0.6,0.6,7,0.9,0.9,FALSE,Hotel and Restaurant Management,FALSE,Office Manager
31,0.7,0.7,6,0.9,1,FALSE,Business Management,FALSE,Office Manager
37,0.9,0.9,7,0.9,0.9,FALSE,Business Management,FALSE,Office Manager
27,0.6,0.6,3,0.6,0.9,FALSE,Social Work,FALSE,Project Coordinator
26,0.7,0.7,2,0.9,0.9,FALSE,Social Sciences,FALSE,Project Coordinator
29,0.7,0.7,3,0.9,0.9,FALSE,Psychology,FALSE,Project Coordinator
27,0.6,0.6,2,0.9,0.9,FALSE,Social Work,FALSE,Project Coordinator
30,0.7,0.7,3,0.9,1,FALSE,Social Sciences,FALSE,Project Coordinator
25,0.6,0.6,2,0.9,0.9,FALSE,Social Work,FALSE,Project Coordinator
28,0.7,0.7,3,0.9,0.9,FALSE,Psychology,FALSE,Project Coordinator
26,0.6,0.6,2,0.7,0.9,FALSE,Social Work,FALSE,Project Coordinator
29,0.7,0.7,3,0.9,0.9,FALSE,Social Sciences,FALSE,Project Coordinator
27,0.5,0.5,2,0.9,0.9,FALSE,Psychology,FALSE,Project Coordinator
26,0.4,0.4,4,0.8,0.9,FALSE,Administration,FALSE,Clerk
25,0.4,0.3,3,0.8,0.9,FALSE,Information Technology,FALSE,Clerk
30,0.3,0.3,5,0.9,0.6,FALSE,Information Technology,FALSE,Clerk
23,0.4,0.4,2,0.9,0.9,FALSE,Business Management,FALSE,Clerk
29,0.4,0.4,3,0.9,0.7,FALSE,Psychology,FALSE,Clerk
24,0.3,0.3,4,0.9,0.9,FALSE,Tourism,FALSE,Clerk
28,0.3,0.3,3,0.9,0.9,FALSE,Financial Management,FALSE,Clerk
31,0.3,0.3,5,0.7,0.9,FALSE,Public Administration,FALSE,Clerk
27,0.3,0.3,4,0.9,0.9,FALSE,Business Management,FALSE,Clerk
28,0.7,0.7,2,0.9,0.9,FALSE,Information Systems,FALSE,Clerk
