age,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_position
28,0.6,0.6,4,0.9,0.9,FALSE,Hospitality,FALSE,BPO
32,0.6,0.6,3,0.9,0.9,FALSE,Hotel Management,FALSE,BPO
30,0.5,0.5,5,0.7,0.9,FALSE,Tourism Management,FALSE,BPO
26,0.6,0.6,2,0.9,0.9,FALSE,High School,FALSE,BPO
32,0.7,0.7,6,0.9,0.9,FALSE,Information Technology,FALSE,BPO
22,0.6,0.6,1,0.9,0.9,FALSE,Customer Service,FALSE,BPO
35,0.6,0.6,7,0.6,0.9,FALSE,Culinary Arts,FALSE,BPO
27,0.7,0.7,4,0.9,0.9,FALSE,Commerce,FALSE,BPO
29,0.7,0.7,5,0.5,0.9,FALSE,Business Administration,FALSE,BPO
24,0.8,0.8,2,0.6,0.9,FALSE,Hospitality Management,FALSE,BPO
28,0.7,0.7,8,1,0.9,TRUE,Culinary Arts,TRUE,Hotel & Restaurant
24,0.5,0.5,3,0.9,0.9,TRUE,Hospitality Management,TRUE,Hotel & Restaurant
32,0.8,0.8,6,0.9,0.9,TRUE,Business Administration,TRUE,Hotel & Restaurant
27,0.7,0.7,5,0.9,0.9,TRUE,Culinary Arts,TRUE,Hotel & Restaurant
30,0.7,0.7,4,0.9,0.9,TRUE,Event Management,TRUE,Hotel & Restaurant
22,0.5,0.5,2,0.9,0.9,TRUE,Culinary Arts,TRUE,Hotel & Restaurant
35,0.9,0.9,10,0.9,0.9,TRUE,Hotel Management,TRUE,Hotel & Restaurant
27,0.6,0.6,3,0.9,0.9,TRUE,Hospitality,TRUE,Hotel & Restaurant
29,0.6,0.6,7,1,0.9,TRUE,Pastry Arts,TRUE,Hotel & Restaurant
25,0.6,0.6,4,0.9,0.9,TRUE,Hotel Management,TRUE,Hotel & Restaurant
28,0.6,0.6,4,0.9,0.9,TRUE,Mathematics,FALSE,Tutor
27,0.7,0.7,3,0.9,0.9,TRUE,English,FALSE,Tutor
30,0.6,0.7,5,0.9,0.9,TRUE,Biology,FALSE,Tutor
26,0.7,0.7,2,0.9,0.9,FALSE,Education,FALSE,Tutor
32,0.6,0.6,6,1,0.9,FALSE,Music Education,FALSE,Tutor
22,0.8,0.8,1,0.9,0.9,FALSE,Computer Science,FALSE,Tutor
35,0.7,0.7,7,-1,0.9,TRUE,Exercise Physiology,FALSE,Tutor
27,0.7,0.7,4,0.9,0.9,FALSE,Visual Arts,FALSE,Tutor
29,7,7,5,0.9,0.9,FALSE,Linguistics,FALSE,Tutor
24,0.7,0.7,2,0.9,0.9,TRUE,History,FALSE,Tutor
28,0.8,0.8,6,0.9,0.5,TRUE,Hotel Management,TRUE,Housekeeping
25,0.4,0.4,3,1,0.9,TRUE,Hospitality,TRUE,Housekeeping
28,0.6,0.6,5,1,0.9,TRUE,Laundry Services,TRUE,Housekeeping
26,0.8,0.8,2,0.9,0.6,TRUE,Environmental Management,TRUE,Housekeeping
32,0.3,0.3,7,1,0.9,TRUE,High School,TRUE,Housekeeping
22,0.5,0.5,1,1,0.3,TRUE,Hotel Housekeeping,TRUE,Housekeeping
28,0.6,0.6,8,-1,0.7,TRUE,Business Administration,TRUE,Housekeeping
27,0.5,0.5,4,0.9,0.9,TRUE,Floor Care Services,TRUE,Housekeeping
29,0.7,0.7,5,0.9,0.7,TRUE,Education,TRUE,Housekeeping
24,0.7,0.7,2,1,0.9,TRUE,Maritime Hotel Operations,TRUE,Housekeeping
28,0.9,0.9,10,0.9,0.7,FALSE,Culinary Arts,FALSE,Chef
25,0.8,0.8,7,1,0.9,FALSE,Culinary Management,FALSE,Chef
30,0.8,0.8,8,0.85,0.9,FALSE,Pastry Arts,FALSE,Chef
28,0.7,0.7,5,1,0.9,FALSE,Culinary Arts,FALSE,Chef
32,0.8,0.8,12,0.9,0.6,FALSE,Hotel and Restaurant Management,FALSE,Chef
22,0.8,0.8,3,1,0.9,FALSE,Home Economics,FALSE,Chef
35,0.8,0.8,9,0.9,0.9,FALSE,Japanese Culinary Arts,FALSE,Chef
27,0.8,0.8,6,1,0.7,FALSE,Food Science,FALSE,Chef
29,0.7,0.7,11,1,0.9,FALSE,Maritime Hotel Operations,FALSE,Chef
24,0.8,0.8,4,0.9,0.9,FALSE,Nutrition and Dietetics,FALSE,Chef
28,0.8,0.8,8,0.9,0.9,FALSE,Hotel and Restaurant Management,FALSE,Catering Manager
25,0.7,0.7,5,0.75,0.9,FALSE,Hospitality Management,FALSE,Catering Manager
30,0.8,0.8,7,0.9,0.9,FALSE,Event Planning,FALSE,Catering Manager
26,0.8,0.8,6,0.85,0.9,FALSE,Business Administration,FALSE,Catering Manager
32,0.8,0.8,9,1,0.9,FALSE,Culinary Arts,FALSE,Catering Manager
22,0.7,0.7,4,0.9,0.9,FALSE,Tourism Management,FALSE,Catering Manager
35,0.7,0.7,10,0.9,0.9,FALSE,Business Administration,FALSE,Catering Manager
28,0.9,0.8,8,0.9,0.9,FALSE,Marketing,FALSE,Catering Manager
29,0.8,0.8,11,0.9,0.9,FALSE,Culinary Arts,FALSE,Catering Manager
24,0.8,0.8,5,0.8,0.9,FALSE,Hospitality Management,FALSE,Catering Manager
