age,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_position
30,0.8,0.8,3,0.9,1,TRUE,accountancy,FALSE,Accountant
32,1,0.9,5,0.9,0.2,TRUE,accountancy,FALSE,Accountant
30,0.8,0.7,4,0.9,0.6,TRUE,accountancy,FALSE,Accountant
29,0.5,0.5,4,0.85,0.5,TRUE,accountancy,FALSE,Accountant
31,0.6,0.6,5,0.8,-1,TRUE,accountancy,FALSE,Accountant
27,0.5,0.4,3,0.9,0.9,TRUE,accountancy,FALSE,Accountant
33,0.7,0.7,4,0.9,0.9,TRUE,accountancy,FALSE,Accountant
28,0.6,0.6,3,0.87,0.9,TRUE,accountancy,FALSE,Accountant
28,0.5,0.5,3,0.9,0.7,TRUE,accountancy,FALSE,Accountant
33,0.8,0.8,5,0.8,0.7,TRUE,accountancy,FALSE,Accountant
34,0.9,0.9,8,0.87,0.9,FALSE,finance,FALSE,Financial Manager
36,0.8,0.8,5,0.9,1,TRUE,accountancy,FALSE,Financial Manager
32,0.7,0.8,7,0.9,0.9,TRUE,finance,FALSE,Financial Manager
35,0.9,0.9,5,0.9,0.9,FALSE,financial management,FALSE,Financial Manager
33,0.8,0.8,5,0.9,0.9,TRUE,accountancy,FALSE,Financial Manager
37,0.9,0.8,8,0.9,0.9,FALSE,finance,FALSE,Financial Manager
31,0.9,0.9,6,0.9,0.9,TRUE,financial management,FALSE,Financial Manager
34,0.8,0.8,5,0.9,0.9,TRUE,accountancy,FALSE,Financial Manager
30,0.8,0.8,8,0.9,0.9,TRUE,finance,FALSE,Financial Manager
35,0.9,0.9,9,1,0.9,TRUE,financial management,FALSE,Financial Manager
28,0.5,0.4,2,0.9,0.9,TRUE,accountancy,FALSE,Bookkeeper
25,0.4,0.3,1,1,0.9,TRUE,financial management,FALSE,Bookkeeper
27,0.4,0.4,3,0.9,0.9,TRUE,banking and finance,FALSE,Bookkeeper
24,0.3,0.3,1,0.9,0.9,TRUE,financial management,FALSE,Bookkeeper
26,0.4,0.4,5,0.9,0.9,TRUE,accountancy,FALSE,Bookkeeper
23,0.3,0.3,1,0.8,0.9,TRUE,financial management,FALSE,Bookkeeper
28,0.4,0.4,3,0.9,0.9,TRUE,financial management,FALSE,Bookkeeper
25,0.3,0.3,1,0.9,0.9,TRUE,accountancy,FALSE,Bookkeeper
27,0.3,0.3,1,0.9,0.9,TRUE,banking and finance,FALSE,Bookkeeper
24,0.4,0.4,3,1,0.9,TRUE,financial management,FALSE,Bookkeeper
28,0.6,0.6,2,0.9,0.84,FALSE,business administration,FALSE,Financial Advisor
30,0.6,0.6,3,0.9,0.82,FALSE,economics,FALSE,Financial Advisor
26,0.6,0.6,2,0.9,0.9,FALSE,financial management,FALSE,Financial Advisor
29,0.7,0.7,3,0.9,0.9,FALSE,marketing,FALSE,Financial Advisor
27,0.7,0.7,2,1,0.9,FALSE,business management,FALSE,Financial Advisor
33,0.7,0.7,3,0.9,0.9,FALSE,economics,FALSE,Financial Advisor
29,0.8,0.8,5,1,0.9,TRUE,business management,FALSE,Financial Advisor
30,0.8,0.8,6,0.7,0.84,TRUE,economics,FALSE,Financial Advisor
35,0.8,0.8,6,0.9,0.9,TRUE,business administration,FALSE,Financial Advisor
36,0.9,0.9,9,0.9,0.9,FALSE,financial management,FALSE,Financial Advisor
29,0.7,0.7,3,0.9,0.7,TRUE,accountancy,FALSE,Auditor
31,0.7,0.7,3,0.9,0.86,TRUE,accountancy,FALSE,Auditor
28,0.5,0.5,5,0.9,0.9,TRUE,accountancy,FALSE,Auditor
29,0.7,0.7,4,0.9,0.9,TRUE,financial management,FALSE,Auditor
30,0.7,0.7,5,0.9,0.9,TRUE,accountancy,FALSE,Auditor
29,0.7,0.7,5,0.9,0.6,TRUE,finance,FALSE,Auditor
33,0.8,0.8,6,0.9,0.9,TRUE,accountancy,FALSE,Auditor
28,0.5,0.5,3,0.9,0.9,TRUE,accountancy,FALSE,Auditor
31,0.7,0.7,5,0.9,0.9,TRUE,accountancy,FALSE,Auditor
34,0.8,0.8,6,0.9,0.9,TRUE,accountancy,FALSE,Auditor
29,0.8,0.7,5,0.6,0.9,FALSE,visual communications,FALSE,Graphic Designer
36,0.8,0.8,13,0.9,0.6,FALSE,psychology and fine arts,FALSE,Graphic Designer
30,0.5,0.5,10,0.1,0.8,FALSE,fashion design,FALSE,Graphic Designer
27,0.7,0.7,12,0.9,0.9,FALSE,graphic design,FALSE,Graphic Designer
35,0.7,0.7,10,0.9,0.9,FALSE,graphic design,FALSE,Graphic Designer
39,0.7,0.7,11,0.9,0.7,FALSE,graphic design,FALSE,Graphic Designer
32,0.6,0.6,8,1,0.9,FALSE,graphic design,FALSE,Graphic Designer
28,0.7,0.7,7,0.9,1,FALSE,graphic design,FALSE,Graphic Designer
28,0.7,0.7,15,0.9,0.9,FALSE,graphic design,FALSE,Graphic Designer
28,0.8,0.8,5,0.9,0.9,FALSE,graphic and web design,FALSE,Graphic Designer
32,0.6,0.6,1,0.9,0.9,FALSE,communication,FALSE,Public Relations
30,0.7,0.7,3,0.9,0.9,FALSE,public relations,FALSE,Public Relations
23,0.5,0.4,2,0.9,0.9,FALSE,public relations,FALSE,Public Relations
22,0.7,0.7,5,0.9,0.9,FALSE,public relations,FALSE,Public Relations
28,0.7,0.7,4,0.9,0.9,FALSE,communication,FALSE,Public Relations
35,0.6,0.6,6,0.9,0.9,FALSE,public relations,FALSE,Public Relations
30,0.7,0.7,9,0.9,0.9,FALSE,public relations,FALSE,Public Relations
32,0.5,0.5,3,0.9,0.9,FALSE,public relations,FALSE,Public Relations
26,0.7,0.7,4,0.9,0.9,FALSE,journalism,FALSE,Public Relations
29,0.7,0.7,2,0.9,0.9,FALSE,public relations,FALSE,Public Relations
24,0.7,0.7,9,0.9,0.9,FALSE,psychology,FALSE,Public Relations
25,0.7,0.7,4,0.9,0.9,FALSE,mass communications,FALSE,Event Planner
27,0.8,0.8,6,0.9,0.9,FALSE,computer science,FALSE,Event Planner
32,0.6,0.6,1,0.9,0.9,FALSE,hospitality management,FALSE,Event Planner
28,0.4,0.4,6,1,0.9,FALSE,event management,FALSE,Event Planner
32,0.8,0.8,6,0.9,0.9,FALSE,business administration,FALSE,Event Planner
25,0.7,0.7,4,1,0.9,FALSE,hospitality management,FALSE,Event Planner
30,0.8,0.8,3,1,1,FALSE,event management,FALSE,Event Planner
35,0.6,0.6,3,0.9,0.9,FALSE,business administration,FALSE,Event Planner
28,0.7,0.7,5,1,0.9,FALSE,marketing management,FALSE,Event Planner
28,0.6,0.6,5,1,0.9,FALSE,illustration,FALSE,Illustrator
25,0.7,0.7,3,0.9,0.7,FALSE,visual communication,FALSE,Illustrator
30,0.7,0.7,6,0.8,0.9,FALSE,interior design,FALSE,Illustrator
32,0.7,0.7,4,1,0.9,FALSE,graphic design,FALSE,Illustrator
32,0.7,0.7,7,1,0.9,FALSE,graphic design,FALSE,Illustrator
22,0.7,0.7,2,0.85,0.9,FALSE,multimedia arts,FALSE,Illustrator
35,0.7,0.7,8,0.9,0.9,FALSE,digital arts,FALSE,Illustrator
27,0.6,0.6,3,0.9,0.7,FALSE,communication arts,FALSE,Illustrator
29,0.7,0.7,5,1,0.9,FALSE,illustration,FALSE,Illustrator
24,0.7,0.7,2,0.9,0.9,FALSE,graphic design,FALSE,Illustrator
38,0.8,0.8,3,0.9,0.9,FALSE,computer science,FALSE,Web Developer
26,0.9,0.9,3,0.9,0.9,FALSE,information technology,FALSE,Web Developer
30,0.8,0.8,5,1,0.6,FALSE,computer science,FALSE,Web Developer
27,0.8,0.8,3,1,0.9,FALSE,computer science,FALSE,Web Developer
26,0.8,0.8,2,0.9,0.9,FALSE,computer science,FALSE,Web Developer
25,0.8,0.8,4,1,0.4,FALSE,information technology,FALSE,Web Developer
31,0.8,0.8,5,1,0.9,FALSE,computer science,FALSE,Web Developer
24,0.7,0.7,2,0.9,0.9,FALSE,information technology,FALSE,Web Developer
33,0.9,0.9,5,1,0.7,FALSE,computer science,FALSE,Web Developer
27,0.8,0.8,3,0.9,0.9,FALSE,information technology,FALSE,Web Developer
30,0.8,0.8,4,0.9,0.8,FALSE,computer science,FALSE,Database Administrator
25,0.8,0.8,3,0.9,0.6,FALSE,information technology,FALSE,Database Administrator
32,0.8,0.7,4,0.9,0.9,FALSE,computer science,FALSE,Database Administrator
29,0.8,0.8,2,0.9,0.5,FALSE,computer science,FALSE,Database Administrator
29,0.8,0.8,3,0.9,0.8,FALSE,computer science,FALSE,Database Administrator
33,0.9,0.9,4,0.9,0.6,FALSE,computer science,FALSE,Database Administrator
25,0.8,0.8,4,0.9,0.9,FALSE,computer science,FALSE,Database Administrator
36,0.7,0.7,3,0.9,0.8,FALSE,information technology,FALSE,Database Administrator
34,0.8,0.8,6,0.9,0.6,FALSE,computer science,FALSE,Database Administrator
27,0.8,0.8,4,0.9,0.9,FALSE,computer science,FALSE,Database Administrator
28,0.5,0.5,2,0.9,0.9,FALSE,information technology,FALSE,System Analyst
25,0.7,0.7,2,0.6,0.9,FALSE,computer science,FALSE,System Analyst
