"age","sex","experience","experience_role","experience_years","hard_skills","soft_skills","certifications","degree","training","job_field","job_position"
NA,"male",0.08095387,0.625939846,0,0.38835409,0.245859057,"FALSE","business administration","FALSE","hr & admin","hr manager"
34,"female",0.3962515,0.19313243,7,0.207169086,0.298725396,"FALSE","business administration","FALSE","hr & admin","offinance manager"
48,"female",0.563603282,0.290808707,8,0.498929799,0.602545857,"FALSE","public relations","FALSE","arts & communication","public relations"
31,NA,0.387657404,0.273779362,6,NA,0.499851525,"FALSE","economics","FALSE","accounting & finance","financial advisor"
35,"female",0.151854336,0.240615517,7,0.26730001,0.277206838,"TRUE","medicine","TRUE","healthcare","registered nurse"
29,"male",0.050972775,0.257503837,0,0.05813052,0.176231176,"TRUE",NA,"TRUE","healthcare","pharmacist"
28,"male",0.607563615,0.263189584,5,0.614496469,0.558456957,"FALSE","information technology","FALSE","computer & it","system analyst"
39,"female",0.271080703,0.211768568,12,0.331284404,0.645194173,"FALSE","information technology","FALSE","computer & it","web developer"
NA,"female",0.420998991,0.26760143,3,0.337338865,0.353274345,"TRUE","accountancy","FALSE","accounting & finance","accountant"
27,"female",0.313447952,0.0798398,3,0.334290683,0.335315406,"FALSE","business administration","FALSE","hr & admin","recruiter"
28,"male",0.325913876,0.172441766,NA,0.514170468,0.375934988,"TRUE","financial management","TRUE","accounting & finance","bookkeeper"
36,"female",0.443856776,0.287344635,9,0.710861802,0.498009384,"TRUE","financial management","FALSE","accounting & finance","financial manager"
29,"female",0.358466387,0.108846173,4,0.23237589,0.30380106,"FALSE","psychology","TRUE","hr & admin","recruiter"
27,"male",0.544195294,0.286230981,2,0.334959954,0.630179048,"FALSE","computer science","FALSE","computer & it","software engineer"
NA,NA,0.566564977,0.287659407,4,0.475594759,0.520204008,"FALSE","information technology","TRUE","computer & it","application developer"
29,"male",0.616807461,0.280287266,4,0.369803935,0.028755687,"FALSE","computer science","FALSE","computer & it","application developer"
26,"female",0.253158212,0.227409989,2,0.246306121,0.219155222,"FALSE",NA,"TRUE","hr & admin","clerk"
32,"female",0.311925,0.126573,8,0.170006648,0.243725076,"TRUE","special education","TRUE","education","sped teacher"
30,"female",0.26123625,0.229483634,2,0.351786792,0.434882462,"FALSE","culinary arts","TRUE","services","hotel and restaurant staff"
